[2026-07-17 15:37:33] Starting MCP stdio server loop
[2026-07-17 15:42:42] MCP tool signoz_fetch_trace called for trace_id=14a7f354d4403b26a4219f8c599defeb
[2026-07-17 15:42:42] "POST /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:42:43] "POST /api/v1/history HTTP/1.1" 200 -
[2026-07-17 15:42:44] "POST /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:42:44] "POST /v1/traces HTTP/1.1" 200 -
[2026-07-17 15:42:44] "POST /v1/traces HTTP/1.1" 200 -
[2026-07-17 15:42:44] "POST /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:43:40] "POST /api/v1/reset HTTP/1.1" 200 -
[2026-07-17 15:43:45] "POST /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:43:45] "POST /v1/traces HTTP/1.1" 200 -
[2026-07-17 15:43:45] "POST /v1/traces HTTP/1.1" 200 -
[2026-07-17 15:43:45] "POST /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:43:46] "POST /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:43:46] Starting MCP stdio server loop
[2026-07-17 15:43:46] Received MCP request: method=initialize, id=1
[2026-07-17 15:43:46] Received MCP request: method=notifications/initialized, id=None
[2026-07-17 15:43:46] MCP Initialization Completed by Client
[2026-07-17 15:43:46] Received MCP request: method=tools/call, id=2
[2026-07-17 15:43:46] MCP tool signoz_fetch_trace called for trace_id=77f880129d1a0461aa3e85e15075df8d
[2026-07-17 15:43:46] "POST /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:43:48] "POST /api/v1/history HTTP/1.1" 200 -
[2026-07-17 15:43:49] "POST /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:43:49] "POST /v1/traces HTTP/1.1" 200 -
[2026-07-17 15:43:49] "POST /v1/traces HTTP/1.1" 200 -
[2026-07-17 15:43:49] "POST /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:55:08] "GET /favicon.ico HTTP/1.1" 404 -
[2026-07-17 15:55:09] "GET /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:55:10] "GET /api/v1/spans HTTP/1.1" 200 -
[2026-07-17 15:55:10] "GET /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:55:10] "GET /api/v1/history HTTP/1.1" 200 -
[2026-07-17 15:55:11] "GET /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:55:11] "GET /api/v1/spans HTTP/1.1" 200 -
[2026-07-17 15:55:12] "GET /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:55:12] "GET /api/v1/history HTTP/1.1" 200 -
[2026-07-17 15:55:13] "GET /api/v1/spans HTTP/1.1" 200 -
[2026-07-17 15:55:13] "GET /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:55:14] "GET /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:55:14] "GET /api/v1/spans HTTP/1.1" 200 -
[2026-07-17 15:55:14] "GET /api/v1/history HTTP/1.1" 200 -
[2026-07-17 15:55:15] "GET /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:55:16] "GET /api/v1/spans HTTP/1.1" 200 -
[2026-07-17 15:55:16] "GET /api/v1/status HTTP/1.1" 200 -
